 * Running on http://127.0.0.1:62487/ (Press CTRL+C to quit)
127.0.0.1 - - [18/Feb/2022 05:36:23] "[32mGET / HTTP/1.1[0m" 302 -
127.0.0.1 - - [18/Feb/2022 05:36:23] "GET /accounts/login/ HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2022 05:36:24] "[32mGET /accounts/login HTTP/1.1[0m" 308 -
127.0.0.1 - - [18/Feb/2022 05:36:24] "GET /accounts/login/ HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2022 05:36:24] "GET /static/css/login.css HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2022 05:36:25] "[32mPOST /accounts/?target=/ HTTP/1.1[0m" 302 -
127.0.0.1 - - [18/Feb/2022 05:36:25] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2022 05:36:25] "GET /static/css/index.css HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2022 05:36:25] "GET /static/js/bundle.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2022 05:36:25] "GET /api/v1/posts/ HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2022 05:36:25] "GET /api/v1/posts/3/ HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2022 05:36:25] "GET /api/v1/posts/2/ HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2022 05:36:25] "GET /api/v1/posts/1/ HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2022 05:36:25] "GET /uploads/e1a7c5c32973862ee15173b0259e3efdb6a391af.jpg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2022 05:36:25] "GET /uploads/9887e06812ef434d291e4936417d125cd594b38a.jpg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2022 05:36:25] "GET /uploads/505083b8b56c97429a728b68f31b0b2a089e5113.jpg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2022 05:36:25] "GET /uploads/ad7790405c539894d25ab8dcf0b79eed3341e109.jpg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2022 05:36:25] "GET /uploads/122a7d27ca1d7420a1072f695d9290fad4501a41.jpg HTTP/1.1" 200 -
